,Positions,Heights
0,993,79.75582122999998
1,1487,1.8007485000000045
2,2993,84.63263932999999
3,3993,2.6398120499999536
4,4990,5.768625569999969
5,5104,4.608152229999966
6,5982,1.5005493999999402
7,6488,2.9253441199999983
8,7992,5.426037579999978
9,8299,55.533387860000005
10,8398,84.84828786000001
11,8492,202.22813786
12,8768,8.901492300000001
13,10992,27.29334718999999
14,12995,124.88093051999996
15,13090,85.93421051999998
16,13293,179.41792615999998
17,13988,2.9823373899999837
18,15987,1.60919523000004
19,16487,3.3059379000000177
20,18493,19.634161390000017
